Jumlah Barang (Ribu Ton)
8577.00
10775.00
11769.00
12537.00
13726.00
14988.00
15690.00
16368.00
16868.00
18481.00
23932.00
18129.00
19302.00
19545.00
18702.00
17099.00
16293.00
17146.00
17341.00
17273.00
17077.00
19443.00
18923.00
19114.00
20438.00
23619.00
26755.00
33461.00
32034.00
35304.00
43367.00
49396.00
51106.00
48450.00
53642.00
61908.00
