Curah Hujan GK
479.44
200.67
241.5
90.72
14.17
0.56
0.06
0
0
1.89
121.33
116.06
505
200
527
164
36
0
0
0
0
0
131
274
277
336
422
334
80
8
2
24
12
191
329
312
352.8
276.1
245.9
236
60.1
209.1
8.8
33.9
133.6
145.7
344.8
409.9
199
188
403
243
218.1
132.7
35.5
53
26.5
371.7
659
369
211.5
566
288.5
169.5
98
1
28
7
0
0
31.5
117.5
473.4
389.5
291.6
342.4
25.5
27
13
0
53
30
382
442.5
